Gene,immature,A,B
BAIAP2L1,0.388735,0.514992,0.297853
KDM7A,6.103975,6.867876,3.84353
ETV1,0,0,0
AGK,2.793416,5.678771,4.536972
ALDH3B1,88.100845,42.723145,46.726498
TTC22,0.069043,0.232524,7.74E-02
PHTF2,7.299297,5.442403,7.63905
CCL26,0,0,3.284877
FARP2,4.144834,9.959663,4.416875
USH1C,0,0,0
GGCT,30.236406,20.753796,35.619099
DBF4,3.40298,4.216463,2.855509
TBXA2R,0.368596,0.215764,6.74E-02
IFRD1,8.532122,10.169367,8.443711
LGALS14,0,0,0
COX10,6.108961,7.883296,6.176019
GTF2IRD1,6.00925,5.041724,5.953941
PAF1,13.577545,18.338223,13.608419
VPS41,27.614485,23.13167,36.570374
ARHGAP44,0.297872,0.26563,0.227655
ELAC2,16.814888,18.691833,14.763591
SCIN,22.588493,10.245375,36.446072
ARSD,8.39356,11.682544,10.092486
PNPLA4,2.481622,2.124108,2.856874
MYH13,0,0,0
ADIPOR2,16.213161,21.043413,14.810331
CDKL3,0.347662,0.466851,0.491962
UPP2,0,0,0
PRSS21,19.094381,8.063354,13.66013
MARK4,4.055286,5.089877,3.821065
PROM1,0.012381,0,0
CCDC124,37.637733,30.419216,28.950262
CEACAM21,0.9433,4.019491,0.227752
PAFAH1B1,22.024796,22.201908,21.061422
NOS2,0,0,0
DNAH9,0,0,0
KIAA0100,79.134628,46.201145,84.411964
SLC13A2,0,0,0
GAS7,34.534164,30.865358,34.888126
TRAPPC6A,13.413004,11.405666,21.101753
MATK,82.507866,45.127895,78.689651
CEACAM7,0,0,0
CD79B,1.963848,2.647847,4.887741
SCN4A,0,0,0
ST7L,3.572649,4.225129,2.798382
TKTL1,0,0,0
PAX6,0,3.40E-02,0.115452
RPUSD1,4.787882,5.588588,5.778624
RHBDF1,16.200026,5.860558,15.360878
LUC7L,19.12384,16.671282,16.582209
CACNA2D2,0.038899,5.10E-02,0
BAIAP3,0.034536,0,0
TSR3,22.753773,19.680433,20.588488
PIGQ,14.996829,9.326465,15.110578
CRAMP1L,3.250379,3.695477,4.650995
TEAD3,1.352164,0.618786,0.599928
SELE,0.000791,0,0
DNAJC11,16.995138,19.851589,20.620224
FMO3,0,0,0
MYLIP,1.162694,2.887406,1.307262
NOX1,0.047307,0,0
E2F2,0.750147,0.295193,0.317288
PSMB1,92.102135,115.161484,89.44281
SYN1,0,0,0
JARID2,14.101534,5.419324,11.00701
CDKL5,0.155249,0.158894,0.436308
CAMK1G,0.241323,3.019042,0.433116
CDK11A,22.025633,24.868057,21.005186
NADK,112.14418,172.124802,89.206039
TFAP2B,0,0,0
TFAP2D,0,0,0
DLEC1,0.151373,0.180057,0.116119
CYTH3,5.625242,4.810124,3.933075
ADAM22,0.057686,8.66E-02,2.79E-02
SYPL1,25.129969,21.776976,23.590151
CYB561,3.825781,7.913276,6.933277
SPAG9,37.675739,34.531017,51.205616
CELSR3,0.062371,0.210575,0.12885
AASS,0,0.802561,0
PLEKHG6,0.033923,2.53E-02,0
SS18L2,10.514606,12.733078,10.574216
MPND,29.949152,19.136271,23.881281
MGST1,86.519325,125.302757,61.476467
CRY1,4.038308,3.535707,4.198721
PGLYRP1,0,0,0
NFIX,0.203304,2.776741,0.285803
ST3GAL1,36.917126,52.742886,19.313877
MMP25,0.969588,4.767141,9.93E-02
IL32,5.161589,238.357803,5.166473
PKD1,14.156838,10.814849,13.702758
MAPK8IP2,0,0.103703,3.14E-02
MED24,20.746469,26.194698,29.651222
RHOBTB2,31.703814,12.857302,20.241209
HEATR5B,7.6073,6.676266,10.629383
SEC62,19.079914,18.980038,18.154631
RPS20,268.569611,265.331238,253.882492
CSDE1,116.793159,132.342224,139.600998
UBE3C,15.279078,16.426569,14.211227
REV3L,3.5457,2.618979,2.466418
TENM1,0.001652,6.18E-03,1.39E-02
PAX7,0,0,0
MASP2,0.470508,0.258384,0.534809
IYD,0,0,0
FAM76A,6.545541,4.296082,7.128994
TRAF3IP3,6.19923,27.21908,7.632141
POMT2,5.850408,3.731574,4.312297
VTA1,5.719931,5.962611,5.886874
MLXIPL,3.054655,2.516746,1.149348
BAZ1B,15.564264,18.10075,18.104921
RANBP9,10.354964,10.940658,8.938375
ETV7,0,31.028112,0
SPRTN,1.866244,2.397318,3.130006
METTL13,15.825477,10.449639,14.196465
DYRK4,38.774368,15.766346,39.764416
ZNF207,41.807045,52.71793,43.738045
UQCRC1,118.242012,95.526421,158.430237
STARD3NL,31.553972,29.746819,22.027504
CD9,640.092102,43.473301,345.201202
HHATL,0,0,0.151832
NCAPD2,11.865179,10.055688,15.974516
IFFO1,19.290073,22.587788,20.20499
GIPR,0.126602,1.131835,0.141069
PHF7,3.680486,3.706053,4.803738
SEMA3G,0.69567,1.61E-02,1.578484
NISCH,9.522816,9.763391,13.483171
STAB1,4.632998,3.22E-02,4.786276
FUZ,4.883119,3.423173,6.733004
SLC6A13,0,0,0
IDS,19.815964,19.869707,21.352018
PRSS3,0,0,0
ZNF200,2.162237,3.595326,1.911454
CD4,109.122826,42.183922,101.677231
LRRC23,3.21017,2.580286,3.932439
BTK,42.028996,46.060905,45.544662
HFE,3.986049,1.759248,0.770546
SCMH1,1.76833,1.145974,1.188749
FYN,11.040385,6.098097,12.811419
HIVEP2,1.254797,6.691836,1.118919
FMO1,0.125304,0,0.243051
TCEB3,13.763795,12.869746,14.178056
LYPLA2,35.805576,23.208622,41.451382
CLCN6,6.635422,11.179996,4.244378
MRC2,35.125904,4.597289,32.359623
NME2,95.204468,10.026513,9.828659
SLC6A7,3.363376,0.998326,14.820278
TSPAN9,0,0.325417,4.12E-02
BTBD7,5.742631,5.547489,4.942476
APBA3,8.1186,11.786759,6.332868
MKS1,5.194627,8.590059,5.29354
ABHD5,21.420568,14.672651,23.699913
KAL1,1.619982,3.067995,0.283064
AKAP8L,24.741289,25.395643,22.252155
MBTD1,1.893127,2.436287,3.002074
UTP18,25.543678,31.351627,32.114887
RNF216,8.966861,9.324445,8.792828
TTC19,5.645815,6.994454,10.573439
PTBP1,62.455555,65.218079,62.296509
DPF1,0.046842,0,0
SYT7,0.728398,1.42129,9.18E-02
LARS2,6.423512,8.560356,6.445111
PIK3C2A,4.010799,4.100605,3.746122
PLAUR,143.419189,566.089905,92.492485
ANLN,1.737794,5.83E-02,3.75E-02
WIZ,6.56411,6.542726,7.65935
RABGAP1,10.10608,12.748518,13.114254
DCN,0,0,0
QPCTL,4.099311,4.685822,5.444248
PPP5C,18.066883,18.334965,16.801418
CEP68,2.164432,1.579866,3.317755
MAP4K3,9.134291,12.393667,16.278395
ZBTB32,0,0.114263,8.68E-02
TYROBP,596.920654,414.289825,649.794495
TMEM159,8.604942,7.638634,9.318172
GABRA3,0,0,0
BRCA1,3.526565,0.85532,0.911762
ERCC1,19.331923,11.378036,22.051973
CD22,43.838322,4.82933,27.392748
SEMA3B,0,4.96E-02,0
MBTPS2,4.476263,5.305418,5.267097
PRICKLE3,3.750482,6.758712,2.544505
LTF,0,0.629882,0
EXTL3,3.93405,3.913417,3.221717
NR1H4,0,0,0
ELOVL5,68.533455,50.16386,89.170746
ALOX5,19.633135,7.605128,4.327027
KDM5D,26.877195,20.432299,32.820885
CALCOCO1,33.017609,25.198454,41.391376
UBR7,20.917368,13.908289,13.598186
MAP4K5,13.510193,18.241121,15.170033
EHD3,3.572561,0.632775,3.522335
PSMC4,41.195347,41.742702,44.411884
MAN2B2,13.57948,14.89165,20.175913
SLC7A14,0,0,0
CLDN11,0.004664,5.18E-02,0
SLC25A39,46.311398,54.651192,46.629902
MVP,133.074722,306.771149,129.088791
NUB1,22.088076,125.521736,25.665188
PGM3,6.024563,5.430964,6.259768
RWDD2A,2.302556,2.366961,1.81673
CLK1,35.287411,29.155033,35.867271
POLR3B,1.922194,1.86806,1.965085
ANGEL1,23.250252,28.424393,29.317932
RNF14,9.076588,14.450541,9.807804
DNASE1L1,13.004074,16.155561,27.263647
DDX11,3.689856,2.747457,1.185719
HEBP1,65.94886,38.996861,42.728554
GPRC5A,0.04359,0.265986,0.172044
MAMLD1,1.385374,1.891204,0.272725
CD6,1.087886,4.723907,0.760865
TACC3,9.846682,6.792973,8.123172
UFL1,10.218607,11.217769,10.629719
POLA2,5.848122,8.532641,5.394887
ZC3H3,6.901576,17.33061,8.909846
CAPN1,68.471367,98.783974,57.938263
ACPP,1.599582,6.057494,2.530445
MDH1,186.583817,151.51944,578.390625
SLC30A9,10.793936,8.393776,13.041944
MTMR11,0.678699,0.947878,0.235379
COX15,19.149803,18.824203,22.475384
CCDC88C,10.776114,8.309049,3.480582
YAF2,2.867565,3.039337,3.754574
ZMYND11,14.153498,9.068882,14.46688
WAS,22.196346,33.024097,24.173176
DPEP1,0,0,0
BID,31.305567,66.639458,31.137642
MATR3,49.247402,55.899723,38.67247
NPC1L1,0,0,0
XYLT2,4.634319,4.27311,5.343686
RGPD5,3.281862,2.655529,4.000511
STMN4,0,0,0
NUDCD3,8.109591,6.467215,8.485174
ISL1,0,0,0
CHDH,0.055261,1.69E-02,0.53611
IL20RA,0,0,0
CLCA1,0,0,0
CLCA4,0,0,0
GLT8D1,9.39362,9.730159,15.228844
ATP2C1,19.739508,29.679661,21.145466
SRCIN1,1.233817,1.115831,0.970589
IGF1,0.043446,0,0
SLC38A5,0,6.289347,0
MAGIX,0.428345,0.656831,0.358705
RALBP1,32.019638,21.446045,31.999424
RUFY3,28.529465,55.108315,33.922039
CNTN1,0,1.15E-02,0
SLC11A1,42.354416,55.069412,12.211816
WWTR1,7.477887,4.694017,5.755954
AGPS,17.334644,10.954998,13.958866
ZNF806,0,0,0
CXorf56,7.56151,9.40517,7.204682
ATP1A2,0,0,0
TTC27,4.967408,4.779263,4.850045
ZNF582,1.199699,1.781062,2.194123
VSIG2,0,0,0
PHLDB1,1.527704,3.666722,2.294284
MARCO,74.829498,2.291489,38.735542
CYP24A1,0,0,0
PRDM11,0.255264,1.090077,0.344927
SYT13,0,0,0
SNAI2,0,0,0
CD74,1537.079712,1742.848022,1808.15979
HGF,1.517923,0.130555,0.311608
ZRANB1,5.481932,3.728396,4.664837
NCDN,3.53349,5.756124,3.189263
GPR124,0.016832,0,0
CCT8L1P,0.032165,0,0
ZFP64,3.838256,3.823582,2.623906
MNAT1,2.912465,3.805498,3.19868
SAMD4A,8.691085,4.655185,11.108012
RUNX3,6.738245,12.613292,5.18425
MRE11A,5.43433,6.717763,7.122482
PLEKHB1,0.067871,1.130056,0
SERPINB1,57.383022,115.455826,71.882256
CYP3A43,0,0,0
SLC7A9,0,0,0.101897
SPAST,3.397506,3.609913,3.420085
NRXN3,0.058249,0,5.59E-02
OSBPL5,3.91713,2.874573,7.309844
AQR,9.662851,10.432375,12.838311
CPS1,0,0,4.55E-02
C8B,0,0,0
FHL1,14.208723,2.91627,13.343848
RTFDC1,60.071465,47.813698,59.955425
GABRA1,0,0,0
NLRP2,7.891697,10.388993,10.137948
SLC45A4,9.718658,2.371946,7.217144
RNF10,49.218269,52.390759,61.189297
ZNF839,2.679232,3.66119,3.291414
ZDHHC6,22.777386,22.898848,23.569599
GRAMD1B,1.846757,5.518411,0.96098
RNH1,142.745377,82.777107,182.739365
NDUFS1,12.52518,12.446058,17.345547
RB1CC1,7.266413,7.647504,6.352521
ERP44,14.990532,27.02817,14.132404
ALAS1,96.604225,249.063171,86.517761
BIRC3,12.734115,42.527851,9.122108
AKAP11,2.736227,4.431843,4.951155
GLRX2,19.086929,18.073299,21.816551
SNAPC1,3.092295,2.823601,2.154492
DERA,25.740496,16.799673,29.60742
STRAP,46.417938,48.067318,42.583439
ABCC2,0.020273,9.37E-02,0
DEF6,6.808583,5.288036,5.948509
PLEKHO1,199.735245,183.03183,139.488922
GCLM,2.409435,7.226628,2.456929
UBR2,8.225093,14.153755,9.099244
EHD2,0.014619,3.27E-02,7.36E-02
DEPDC1,0.231901,0,0
CCDC28A,15.921963,12.696782,15.304638
RRAGD,28.867805,18.414019,35.615261
HSF2,1.306917,1.458003,1.570693
PHF20,8.894592,9.197348,9.547797
HSD17B6,0,6.58E-02,0
NR1H3,328.980804,344.742523,201.079453
TYMP,120.151756,457.610535,74.438805
NCAPH2,15.274295,6.489254,12.32505
TOMM34,7.673633,10.201958,6.761779
SEC63,12.010783,10.058167,11.525603
KPNA6,10.29217,11.142333,7.745861
VIM,972.659729,1684.564575,1540.400635
RTEL1-TNFRSF6B,2.579845,3.114614,1.983081
FAS,6.306474,44.318913,7.474653
RNASET2,55.680351,42.108624,49.67038
CD44,210.99205,597.564575,257.172028
KCNG1,0,0,4.73E-02
AGPAT4,9.177839,5.593367,20.307976
SLAMF7,225.400589,2306.087402,150.50885
BTN3A1,4.968331,15.789598,6.225838
MIPEP,11.980701,7.603899,14.680346
PRKCH,7.666814,4.897915,3.415585
INSRR,0,0,0
IFNGR1,89.158768,55.191967,223.970657
B4GALT7,9.736898,8.386661,8.918883
SH2D2A,0.472992,2.619733,0.915617
VRK2,7.41796,19.440702,6.772358
TNFRSF1B,162.213608,193.168976,101.248543
VEZT,11.129248,12.400649,13.053703
POU2F2,1.173701,4.48495,1.15762
BRD9,10.374121,9.847205,9.944034
SNX1,76.961296,74.125252,88.764786
TBPL1,2.109133,2.459694,1.389253
ARNTL2,3.461687,18.774307,2.971202
BCLAF1,16.29406,21.837341,23.922432
SLC39A9,14.278343,14.65608,16.869669
ANK1,0.060404,0.11917,5.21E-02
IBSP,0,0,0
TFB1M,5.173774,5.922031,5.024605
RABEP1,15.201741,18.851006,28.014011
HMGB3,4.636003,2.864011,3.930771
NUP160,5.927581,7.747952,8.494233
BAK1,28.028624,50.618912,24.665411
MUSK,0,0,0
IKZF2,0.247323,0.241832,0.461492
GRN,1369.891479,886.55896,1323.07312
FAM13B,14.121683,10.22291,15.213761
ARHGAP31,14.115279,15.485093,14.861577
NR2E3,0,0,0
CENPQ,2.471926,1.782753,2.077708
SARS,48.031254,45.628872,46.209469
RANBP3,31.346769,24.457954,34.016788
ARID4A,7.150319,6.533656,8.420565
TSSC1,13.839034,11.294219,20.818121
PNPLA6,47.503101,46.057446,98.374725
IFT88,1.986693,2.647145,0.963664
ALG1,12.761162,12.877525,12.242741
ZCCHC8,7.199518,7.140217,10.874846
ABCF2,11.992235,12.89793,11.400258
CHPF2,12.291873,17.045568,13.197684
LRRC7,0.128751,0.200608,0.100366
FUT8,1.266674,3.136173,1.129119
UBA6,5.772232,10.139727,5.385754
GAB2,12.097815,19.779831,14.659937
ATP6V0A1,79.262444,48.83794,80.883835
PIAS1,15.970016,19.210363,19.983723
SLC4A7,5.808358,4.320626,11.059425
APBA2,0.040072,0.31571,4.36E-02
UHRF1,0.545429,0.124995,0.245929
MAP2K3,42.864021,49.981201,30.132647
EFCAB1,0,0,0
TMSB10,1882.84314,2901.873779,1693.899658
ASTE1,2.148398,2.162956,2.58093
RNF19A,13.737623,19.251326,21.981577
PEX3,4.462251,4.676725,4.506279
GABARAPL2,112.390533,82.664841,97.890968
MYOC,0,0,0
SH3YL1,6.50007,1.93469,4.611053
FAM136A,16.503008,12.373842,14.582886
VCL,21.220695,22.953236,33.11216
DEPDC1B,0.470266,4.70E-02,0
DAPK2,0.122203,1.249475,0.218384
NSMAF,37.879997,56.589195,41.678295
ADSS,29.712395,22.751509,27.075991
STAP1,0,0.479536,0.402176
TIMP2,194.25264,97.20002,203.540329
RFC1,7.760537,8.246139,6.502514
TBC1D23,11.09334,11.086515,10.531583
CUL3,9.045342,9.304979,9.647805
MYOM2,0.568929,0.101256,0.263075
OTC,0,0,0
CYP46A1,0,0,0
ZZZ3,21.668552,8.081966,18.419483
SLC18A1,0,0,0
USP2,31.739546,8.412935,23.171473
CASR,0.053891,0,1.80E-02
TUBG2,5.620655,6.803992,5.09384
RPL26L1,16.69932,15.582321,16.66201
FLT4,0,8.02E-02,0
NSUN2,23.846661,27.775511,23.628502
FBXO42,4.573623,4.557446,5.511713
MFAP3,3.473402,3.128958,5.346562
MRI1,6.953436,5.371851,9.690424
METTL1,31.591312,20.257952,15.686037
HOXC8,0,1.18E-02,0
AGA,8.896508,10.302394,5.672028
PI4K2B,8.614599,9.427731,7.866512
BOD1L1,8.638811,7.845417,9.601455
MAT2B,24.596817,39.477432,32.594086
TLL1,0,0,0
EDC4,21.137306,20.378418,18.707544
TRIO,34.309925,30.193142,41.621853
VCAN,0.077694,0.317899,0
CLEC16A,8.590681,10.951957,12.11012
MSR1,107.323044,61.88731,115.259315
CDH1,3.703186,0.245272,9.863124
SKIV2L2,13.076218,12.969703,14.562227
DNAH5,0,0,0
ZFYVE16,47.178436,38.928631,49.955662
FAM65A,39.935608,34.503044,34.333549
C6,0,0,0
RAI14,19.230282,8.066041,17.666513
SOX30,0,0,0
PNKP,18.499779,14.938766,15.229012
BEST2,0,0,0
PHLPP2,1.968159,2.350048,3.167167
SPDL1,3.655847,1.693108,3.643328
STAU2,6.951718,4.289931,8.635031
PQLC2,42.845139,29.910172,39.981937
CTNS,26.574556,22.558172,54.748795
RTN4R,38.020012,6.677992,35.724369
PHF23,21.389563,20.421192,19.499876
CDH10,0,0,0
INPP4A,9.078235,11.964254,9.914508
RAB27B,0.028989,2.69E-02,3.67E-02
PSMA4,74.273651,193.344177,81.146545
MYO16,0,1.14E-02,0
LSG1,10.742706,11.976992,13.672766
PARP3,3.906842,11.43159,4.762139
TNC,0.013905,1.54E-02,0.407933
THAP3,4.662369,7.062349,6.505704
FAM65C,0.042391,0.250133,0
TDP1,3.50247,4.877569,4.96699
AIFM2,20.893353,55.311581,17.882002
C2orf83,0,0,0
SPATA7,1.640389,0.815632,1.705169
MED17,7.629072,8.289099,7.638892
RETSAT,19.420614,18.303837,14.59683
CAPG,1899.980347,1067.004639,1290.920166
AP2S1,206.317398,112.292862,265.490021
USH2A,0,0,0
ZPBP,0,0,0
TG,0,0,0
ADAM28,10.999555,14.349782,1.864408
BARX2,0.018466,5.05E-02,3.38E-02
DCUN1D1,3.593994,4.262362,2.927074
JADE2,6.609289,20.421652,6.284858
ZIC2,0,0,0
LCP2,63.389271,172.540054,54.308208
TRIT1,6.436386,6.067083,8.489478
ADRB1,0,8.24E-02,2.70E-02
GUCA2B,0,0,0
CUL7,9.750658,9.833079,10.125577
CTNNA1,66.521889,68.38401,110.310883
PHKA2,7.687091,5.326325,10.222777
CNTLN,1.93959,4.927847,2.079959
EPHA3,0,0,0
HSPA5,97.837349,90.88443,83.325111
DSG2,0.028852,7.36E-02,3.08E-02
GEMIN8,6.587726,5.172017,5.918499
OFD1,6.486933,7.187585,7.711883
GPM6B,0,0.183561,0.111717
MAGEC2,0,0,0
PREX2,0.005009,1.82E-02,8.29E-03
WDR37,16.758102,13.030898,18.748222
YTHDC2,5.922584,6.9815,6.272593
CTPS2,2.069582,1.562678,2.736754
ATP6V1H,228.563919,180.607956,191.686172
POLR2B,35.328609,35.993011,37.797806
FAM214A,12.529568,6.807322,13.480566
ARAP2,8.544522,16.187122,18.897108
TPR,17.552656,22.462284,22.924551
CP,0,5.82504,3.79E-02
KIAA0556,4.319396,7.863137,8.327926
DTNBP1,10.296213,14.09182,9.508812
XK,0.072812,9.00E-02,3.47E-02
ANO2,0,0,0
C12orf4,13.460587,14.039243,18.096848
SCML1,2.573568,5.645691,2.309893
WWC3,1.222077,1.807756,1.095732
ARHGAP6,0.21715,4.94E-02,6.74E-02
FAM184B,0,0,0
MAP4,35.185616,37.544575,33.861683
GOPC,5.783957,8.144726,6.338639
ROS1,0,0,0
USP28,7.230465,9.217134,9.300763
HDAC9,3.169788,2.294921,2.119915
TSPAN17,38.779442,18.616858,21.966845
NOP16,25.757584,24.474678,30.481913
CC2D2A,0.316246,0.139098,0.103142
RRM2B,8.481326,16.981699,10.490674
ZNF800,5.068192,6.920307,6.768331
TNFRSF17,0,0,0
SNX29,10.65219,8.093899,16.4438
LMO3,0,4.91E-02,2.49E-02
MRPS10,17.474369,18.969912,18.138384
GUCA1A,0,0,3.64354
RSF1,3.242746,4.813296,4.688549
VPS13D,6.408656,5.120194,9.980127
CELF2,9.692866,8.684691,16.222651
FAM120A,43.798706,38.172127,42.459515
R3HDM1,6.4546,5.086977,5.368832
COL9A2,8.955257,11.903619,11.829834
KITLG,0.493371,0.270144,0.341324
ERCC8,2.655325,1.944408,3.126628
ADAMTS6,0.044091,2.13E-02,2.39E-02
H6PD,21.220314,60.368916,54.568161
VAMP3,81.460442,62.521027,79.129662
PER3,9.187954,4.636277,9.708466
UTS2,0,0,0
TNFRSF9,8.719172,25.756172,3.166694
EPN3,0,8.24E-02,0
SRD5A2,0,0,0
LTBP1,0,0,0
RCN1,10.974771,71.977409,9.090947
ELN,0,0,0
RFC2,11.300238,6.45334,7.149544
ARID1B,6.152619,7.534183,6.509922
CLPTM1L,101.197296,44.976521,69.178375
NEDD4L,5.392859,5.158883,7.389545
FOXP3,0.044607,9.67E-02,9.25E-02
PPP1R3F,0.672411,0.738413,0.682649
HEXB,373.582855,186.37677,571.990662
PTCD2,1.138529,1.379426,1.574236
KIAA2022,0,0,0
JKAMP,27.972195,37.028236,32.833515
DKK3,0,8.88E-02,0
ARHGEF5,1.157466,2.48806,1.140092
NFE2L3,5.892999,17.066328,6.061867
MCUR1,5.675675,4.051458,7.402849
LIMA1,6.893754,5.573422,28.048326
LETMD1,18.124556,19.138268,20.086721
SLC4A8,12.004438,4.690503,16.433077
LAMC3,0,0,0
PTGER3,0.007815,1.12E-02,0
TNIP3,0,8.854234,0
MAPK9,7.407181,7.593219,8.893477
COL23A1,0.985097,5.14E-02,0.512837
BCAR1,12.058284,18.522989,20.283381
FAM160A2,16.100498,13.412102,11.468129
HERPUD1,59.457935,40.12376,75.621857
HOMER3,17.277119,5.67112,13.134867
RAD51,0.98427,0.495735,0.236514
POLQ,0.434845,6.58E-02,0.121339
PIK3CB,20.936838,22.128744,16.669495
CYBA,337.917175,451.894653,343.231964
THOC3,7.45076,6.162274,7.449051
HEBP2,3.181213,1.306419,2.803329
MPHOSPH9,3.570121,4.160416,3.372491
PLEKHA5,2.300241,0.640802,4.850903
PRSS8,0,0,0
SIKE1,5.029654,8.778162,7.919717
RRP12,10.940755,10.572451,10.187944
FNIP2,71.586861,74.251556,67.836792
MSMO1,57.004906,64.713264,34.998207
TTC17,21.58428,22.146881,23.084484
ALX4,0,0,0
FSTL4,0.039082,0,3.29E-02
FOXN3,8.978012,7.300374,10.58287
METTL24,0,0,0
